id,category_id,slug,title,title_english,description,description_english,price,image_url,destination,duration,is_featured,is_active,created_at,updated_at
08f03309-c40d-4d9b-a550-b6291599313d,,excursion-a-monte-alban-arrazola-y-san-bartolo-coyotepec,"Excursión a Monte Albán, Arrazola y San Bartolo Coyotepec","Monte Albán, Arrazola and San Bartolo Coyotepec Excursion","Sumérgete en la riqueza del legado zapoteca explorando la zona arqueológica de Monte Albán y descubriendo el fascinante arte local en Arrazola (alebrijes) y San Bartolo Coyotepec (barro negro). El recorrido incluye transporte desde tu hotel en Oaxaca, guía en español e inglés, y regreso seguro.

*Duración 8 h*

**Incluye:** 
Recogida y traslado desde hoteles del centro histórico de Oaxaca (también colonia Trinidad Huertas), transporte en minibús compartido, guía bilingüe (español e inglés) y seguro de viaje dentro de la unidad.
No incluye
Comida
Entrada a Monte Albán (86 MXN por persona, aprox.)
Entradas adicionales a otros sitios","Immerse yourself in the richness of the Zapotec legacy by exploring the archaeological zone of Monte Albán and discovering fascinating local art in Arrazola (alebrijes) and San Bartolo Coyotepec (black clay pottery). The tour includes transportation from your hotel in Oaxaca, a Spanish- and English-speaking guide, and a safe return.

*Duration 8 h*

**Includes:** Pickup and transfer from hotels in Oaxaca's historic center (also Trinidad Huertas neighborhood), shared minibus transportation, bilingual guide (Spanish and English), and travel insurance on board.
Not included
Food
Admission to Monte Albán (approximately MXN $86 per person)
Additional admissions to other sites",1250.00,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-674x446/07/29/41/1d.jpg,oaxaca,8 Hours,false,true,2026-05-25 17:23:01.846939+00,2026-06-03 15:02:22.513217+00
11f058dd-f353-49ce-b3f6-0e9bfedc9495,,excursion-a-monte-alban-y-cuilapam,Excursión a Monte Albán y Cuilápam,Monte Albán and Cuilápam Excursion,"Descubre la riqueza arqueológica y cultural de Oaxaca en un tour de un día completo a Monte Albán y Cuilápam. Comienza con recogida en tu hotel en Oaxaca capital y disfruta de un trayecto de aproximadamente 45 minutos hacia Monte Albán, donde explorarás las impresionantes ruinas zapotecas, sus plazas ceremoniales, tumbas y vistas panorámicas de los valles oaxaqueños. Después, visita el pintoresco pueblo de Cuilápam de Guerrero, conocido por su arquitectura histórica y su famoso exconvento, para conocer más de la tradición local y degustar productos artesanales.

*Duración aproximadamente 8 h*

**Incluye:** Transporte climatizado ida y vuelta desde tu hotel en Oaxaca, entrada a Monte Albán, guía bilingüe (español/inglés), degustación de productos locales artesanales, almuerzo ligero regional y seguro de viaje básico.","Discover the archaeological and cultural richness of Oaxaca on a full-day tour to Monte Albán and Cuilápam. Start with pickup at your hotel in Oaxaca city and enjoy an approximately 45-minute drive to Monte Albán, where you will explore the impressive Zapotec ruins, ceremonial plazas, tombs, and panoramic views of the Oaxacan valleys. Then visit the picturesque town of Cuilápam de Guerrero, known for its historic architecture and famous former convent, to learn more about local traditions and taste artisanal products.

*Duration approximately 8 h*

**Includes:** Air-conditioned round-trip transportation from your hotel in Oaxaca, admission to Monte Albán, bilingual guide (Spanish/English), tasting of local artisanal products, light regional lunch, and basic travel insurance.",1150.00,https://montealbanoaxaca.com/wp-content/uploads/2026/03/Cuilapam-Oaxaca-Exconvent.jpg,oaxaca,8 Hours,false,true,2026-05-25 17:23:01.846939+00,2026-06-03 15:09:27.903768+00
1d674adb-f106-4a72-93a4-109ec58db670,,entrada-al-santuario-animal-y-aqua-park,Entrada al Santuario Animal y Aqua Park,Animal Sanctuary and Aqua Park Admission,"Accede a dos de las zonas más destacadas del parque Wild Canyon en Los Cabos: el santuario de animales Canyon’s Kingdom Experience y el centro acuático Aqua Park. El recorrido inicia en el parque, donde un biólogo guía bilingüe (español/inglés) te llevará a descubrir la diversidad de fauna rescatada: guacamayos, agapornis, tortugas, serpientes, cocodrilos, iguanas y camellos. Aprenderás sobre sus hábitos de reproducción, tipos de alimentación y características únicas. Luego podrás refrescarte en el Aqua Park, con piscinas y toboganes que ofrecen vistas espectaculares del Mar de Cortés. El parque abre a las 9:30 h y ambas zonas cierran a las 15:00 h.

*Duración aproximadamente 5 h (dependiendo de tu tiempo de estancia, ideal para visitar desde la apertura hasta el cierre de las áreas)*

**Incluye:** 
entrada al santuario Canyon’s Kingdom Experience y al Aqua Park; recorrido guiado bilingüe español e inglés con biólogo en el santuario animal

**No incluye:** 
acceso a otras zonas del parque como el puente colgante o actividades adicionales (entrada adicional)","Access two of the most popular areas of Wild Canyon Park in Los Cabos: the Canyon's Kingdom Experience animal sanctuary and the Aqua Park water area. The tour begins in the park, where a bilingual biologist guide (Spanish/English) will introduce you to rescued wildlife: macaws, lovebirds, turtles, snakes, crocodiles, iguanas, and camels. You will learn about their breeding habits, diets, and unique characteristics. Then you can cool off at the Aqua Park, with pools and slides offering spectacular views of the Sea of Cortez. The park opens at 9:30 a.m. and both areas close at 3:00 p.m.

*Duration approximately 5 h (depending on how long you stay, ideal from opening until the areas close)*

**Includes:** Admission to Canyon's Kingdom Experience and Aqua Park; bilingual Spanish/English guided tour with a biologist in the animal sanctuary

**Not included:** Access to other areas of the park such as the suspension bridge or additional activities (extra admission)",1560.00,https://loscabospassport.com/wp-content/uploads/2020/12/Animal-Kingdom-Sanctuary-40-1.jpg,los-cabos,5 Hours,false,true,2026-05-25 17:23:01.846939+00,2026-06-03 14:45:24.694157+00
274c4006-79ee-461f-af5c-8e72a6f8b57a,,excursion-a-las-cascadas-magicas-de-copalitilla,Excursión a las Cascadas Mágicas de Copalitilla,Magic Waterfalls of Copalitilla Excursion,"Explora en un tour de un día completo la belleza natural de las Cascadas Mágicas de Copalitilla. Comienza con recogida en tu hotel en Huatulco y tras un trayecto de aproximadamente 1.5 h por la sierra, llegarás a un entorno selvático donde podrás caminar, nadar en piscinas cristalinas y disfrutar de la magia del lugar. El recorrido incluye degustación de café y mezcal, encuentro con productos del entorno y un brunch ligero.

*Duración aproximadamente 8 h*

**Incluye:** Transporte climatizado ida y vuelta desde Huatulco, entrada a las cascadas (aproximadamente $100 MXN), guía bilingüe (español/inglés), degustación de café, mezcal y productos medicinales de la comunidad, brunch ligero regional.","Explore the natural beauty of the Magic Waterfalls of Copalitilla on a full-day tour. Start with pickup at your hotel in Huatulco and, after an approximately 1.5-hour drive through the mountains, arrive at a jungle setting where you can walk, swim in crystal-clear pools, and enjoy the magic of the place. The route includes coffee and mezcal tasting, local products, and a light brunch.

*Duration approximately 8 h*

**Includes:** Air-conditioned round-trip transportation from Huatulco, admission to the waterfalls (approximately MXN $100), bilingual guide (Spanish/English), tasting of coffee, mezcal, and community medicinal products, light regional brunch.",1085.00,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-674x446/0f/3e/f4/6f.jpg,oaxaca,8 Hours,false,true,2026-05-25 17:23:01.846939+00,2026-06-03 14:50:53.009462+00
2a1e5759-133a-4087-a9d7-da80c849af7e,01544f37-d138-4297-b970-a46b65c9bb62,noche-mexicana-lucha-libre-tequila-tacos-guacamole,Noche Mexicana: Lucha Libre + Tequila + Tacos y Guacamole,"Mexican Night: Wrestling, Tequila, Tacos and Guacamole","# Descripción

Sumérgete en una noche llena de tradición y sabor mexicano. Comienza en Terraza Casa Pepe, ubicada en el corazón del Centro Histórico, donde un auténtico luchador te introducirá al vibrante mundo de la lucha libre mexicana.

Aprenderás sobre las técnicas más emblemáticas y hasta podrás crear tu propio nombre de luchador.

La velada continúa con una degustación de tacos y guacamole, acompañada de tequila. Posteriormente, serás trasladado en un autobús panorámico hacia la Arena México para disfrutar una función de lucha libre con asientos preferentes.

El recorrido finaliza en el Museo del Tequila y Mezcal.

# Incluye

- Explicación en ring montado en Terraza Casa Pepe
- Degustación de tacos, guacamole y tequila
- Traslado en autobús panorámico a la Arena México
- Entrada con asientos preferentes a la función de lucha libre
- Visita al Museo del Tequila y Mezcal
- Guía experto en tradiciones mexicanas
- Souvenir sorpresa

# No incluye

- Propinas para guías o personal del evento
- Transporte hacia o desde el punto de encuentro

# Importante

El punto de encuentro será definido y confirmado una vez que se realice la reservación.","# Description

Immerse yourself in a night full of Mexican tradition and flavor. Begin at Terraza Casa Pepe in the Historic Center, where an authentic wrestler will introduce you to the exciting world of Mexican lucha libre.

Learn iconic wrestling techniques and even create your own wrestler identity.

The evening continues with tacos, guacamole and tequila tasting before boarding a panoramic bus to Arena México for a live wrestling event with preferred seating.

The experience concludes at the Tequila and Mezcal Museum.

# Includes

- Wrestling explanation inside a professional ring
- Taco, guacamole and tequila tasting
- Panoramic bus transfer to Arena México
- Preferred seating for the wrestling show
- Visit to the Tequila and Mezcal Museum
- Expert guide in Mexican traditions
- Surprise souvenir

# Does not include

- Tips for guides or staff
- Transportation to or from the meeting point

# Important

The meeting point will be confirmed after the reservation process.",2300.00,https://cdn.forbes.com.mx/2023/09/Lucha-libre-Me%CC%81xico-CMLL.webp,experiencias-gastronomicas,4.5 h,true,true,2026-05-25 18:02:35.833199+00,2026-05-25 18:02:35.833199+00
2b723027-ff1f-43c8-9f74-779bb99f24ae,,liberacion-de-tortugas-en-los-cabos,Liberación de Tortugas en Los Cabos,Turtle Release in Los Cabos,"Sé parte de una experiencia única de conservación marina. Te recogemos en tu hotel y te trasladamos hacia una playa protegida donde presenciarás el emocionante proceso de liberación de tortugas marinas recién nacidas. Con la guía de un experto bilingüe (español/inglés), cada participante recibirá su propia tortuga para ayudarla a llegar al mar, además de recibir un certificado de adopción como recuerdo de este acto de solidaridad con el ecosistema. Disfruta de momentos llenos de emoción y conexión con la naturaleza, mientras contribuyes activamente a la supervivencia de estas especies. Después de aproximadamente 3 horas, regresamos a tu hotel.

*Duración aproximadamente 3 h*

**Incluye:** 
transporte climatizado (ida y vuelta) desde el hotel, guía bilingüe español e inglés, una botella de agua, certificado de adopción de tortuga.","Be part of a unique marine conservation experience. We pick you up at your hotel and transfer you to a protected beach where you will witness the exciting release of newborn sea turtles. With the guidance of a bilingual expert (Spanish/English), each participant receives their own turtle to help it reach the sea, and you will also receive an adoption certificate as a keepsake of this act of solidarity with the ecosystem. Enjoy moments full of emotion and connection with nature while actively contributing to the survival of these species. After approximately 3 hours, we return to your hotel.

*Duration approximately 3 h*

**Includes:** Air-conditioned round-trip transportation from the hotel, bilingual guide Spanish/English, one bottle of water, turtle adoption certificate.",2600.00,https://cabotrek.com/wp-content/uploads/2021/10/Turtle-Release-Program-in-Los-Cabos-1.jpg,los-cabos,3 Hours,false,true,2026-05-25 17:23:01.846939+00,2026-06-03 15:14:01.270877+00
33225e7e-c46f-4e3f-a46f-a91bdf26b5d2,,tour-nocturno-con-la-tuna-de-guanajuato,Tour Nocturno con la Tuna de Guanajuato,Night Tour with the Tuna of Guanajuato,"Embárcate en una noche llena de música, historia y diversión en el corazón de Guanajuato. Este tour te llevará por las emblemáticas plazas y callejones del centro histórico, acompañados por una tuna universitaria que amenizará el recorrido con serenatas y canciones tradicionales. Descubre leyendas locales, como la del Callejón del Beso, y disfruta de la arquitectura colonial iluminada por la luna. Es una experiencia única que combina cultura, romance y alegría, ideal para parejas, grupos de amigos y viajeros que buscan una noche inolvidable en Guanajuato.

*Duración aproximadamente 1 h 15 min*

**Incluye:** 
guía en español e inglés, música en vivo a cargo de la tuna universitaria.","Set off on a night full of music, history, and fun in the heart of Guanajuato. This tour takes you through the city's iconic plazas and alleyways in the historic center, accompanied by a university tuna group that livens up the walk with serenades and traditional songs. Discover local legends, such as the Alley of the Kiss, and enjoy the colonial architecture illuminated by the moon. It is a unique experience that combines culture, romance, and joy, ideal for couples, groups of friends, and travelers seeking an unforgettable night in Guanajuato.

*Duration approximately 1 h 15 min*

**Includes:** Spanish and English guide, live music by the university tuna.",170.00,https://www.civitatis.com/f/mexico/guanajuato/tour-nocturno-guanajuato-tuna-589x392.jpg,Guanajuato,1:15 Hours,false,true,2026-05-25 17:23:01.846939+00,2026-06-03 15:10:42.835539+00
36c368e3-4124-48d0-be49-4a6eb303672e,,excursion-a-cozumel,Excursión a Cozumel,Cozumel Excursion,"Disfruta de un día completo explorando la paradisíaca isla de Cozumel, famosa por sus aguas cristalinas y arrecifes ideales para snorkel. Durante la excursión, tendrás tiempo para relajarte en la playa, practicar snorkel en los mejores puntos de la isla y disfrutar de un almuerzo incluido, mientras un guía experto te acompaña y brinda información sobre la historia y cultura de la región.

*Duración de 8 a 10 h*

**Incluye:** Transporte redondo desde Cancún, guía en español e inglés, paseo en barco a Cozumel, snorkel en arrecifes seleccionados, almuerzo tipo buffet o menú local y tiempo libre en la playa para relajación y compras.","Enjoy a full day exploring the paradise island of Cozumel, famous for its crystal-clear waters and reefs ideal for snorkeling. During the excursion, you will have time to relax on the beach, snorkel at the island's best spots, and enjoy an included lunch while an expert guide accompanies you and shares information about the region's history and culture.

*Duration 8 to 10 h*

**Includes:** Round-trip transportation from Cancún, Spanish- and English-speaking guide, boat ride to Cozumel, snorkeling at selected reefs, buffet lunch or local menu, and free time at the beach for relaxation and shopping.",4872.00,https://images.unsplash.com/photo-1484506025411-cb25bd1cf586?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,cozumel,8 - 10 Hours,false,true,2026-05-25 17:23:01.846939+00,2026-06-03 14:47:46.200797+00
39dc344d-ff73-4cb2-9f57-59e7216e8658,,tour-a-puebla-y-valquirico,Tour a Puebla y Val’Quirico,Tour to Puebla and Val'Quirico,"Embárcate en una experiencia única que combina historia, arquitectura y belleza natural. Comienza el día explorando Puebla, conocida como la «Ciudad de los Ángeles», famosa por su arquitectura colonial y su rica gastronomía. Visitarás la imponente Catedral de Puebla y la Capilla del Rosario, considerada una de las maravillas del arte barroco. Después, te trasladarás a Val’Quirico, un encantador pueblo inspirado en la Toscana italiana, donde podrás pasear por sus calles adoquinadas, admirar sus fachadas medievales y disfrutar de la oferta culinaria y artesanal local.

*Duración aproximadamente 11 h*

**Incluye:** 
transporte redondo desde Ciudad de México, guía en español e inglés, entradas a los lugares mencionados.

**No incluye:** 
alimentos ni bebidas.","Set off on a unique experience that combines history, architecture, and natural beauty. Start the day exploring Puebla, known as the 'City of Angels,' famous for its colonial architecture and rich cuisine. You will visit the impressive Puebla Cathedral and the Chapel of the Rosary, considered one of the wonders of Baroque art. Afterward, you will head to Val'Quirico, a charming town inspired by Tuscany in Italy, where you can stroll through cobblestone streets, admire medieval-style facades, and enjoy the local culinary and artisan offerings.

*Duration approximately 11 h*

**Includes:** Round-trip transportation from Mexico City, Spanish and English guide, admission to the mentioned places.

**Not included:** Food or drinks.",1590.00,https://pueblatours.mx/images/valquirico/tours-en-puebla-valquirico-1.jpg,puebla,11 Hours,false,true,2026-05-25 17:23:01.846939+00,2026-06-03 15:08:45.302177+00
3b8a38ec-9147-4808-bcd6-55e893cf0cd0,,taller-de-alebrijes-en-san-martin-tilcajete,Taller de Alebrijes en San Martín Tilcajete,Alebrijes Workshop in San Martín Tilcajete,"Descubre el fascinante universo de los alebrijes en este taller de medio día desde Oaxaca. Te recogeremos en tu hotel por la mañana y te llevaremos en minibús hasta San Martín Tilcajete, el corazón de la creación de alebrijes. En uno de los talleres locales, conocerás la historia y el proceso artesanal de estas coloridas esculturas y, lo mejor de todo, tendrás la oportunidad de pintar tu propio alebrije como recuerdo de esta experiencia única. Al finalizar, regresarás a tu hotel alrededor de las 13:30 h, llevando contigo tu creación.

*Duración aproximadamente 3 h 30 min*

**Incluye:** 
transporte climatizado de ida y vuelta desde el hotel, guía en español e inglés, taller de alebrijes con la experiencia de pintado, y una pieza decorada que podrás conservar como souvenir.","Discover the fascinating world of alebrijes in this half-day workshop from Oaxaca. We will pick you up at your hotel in the morning and take you by minibus to San Martín Tilcajete, the heart of alebrije creation. In one of the local workshops, you will learn about the history and craft process of these colorful sculptures and, best of all, you will have the chance to paint your own alebrije as a keepsake from this unique experience. At the end, you will return to your hotel around 1:30 p.m. with your creation.

*Duration approximately 3 h 30 min*

**Includes:** Air-conditioned round-trip transportation from the hotel, Spanish and English guide, alebrijes workshop with painting experience, and one decorated piece you can keep as a souvenir.",940.00,https://www.civitatis.com/f/mexico/oaxaca/taller-alebrijes-san-martin-ticajete-589x392.jpg,oaxaca,3.5 Hours,false,true,2026-05-25 17:23:01.846939+00,2026-06-03 15:15:32.404847+00
